stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,loss_pct,actual_post_days,recovered,recover_days,max_potential_pct,post_gain_pct,buy_date_norm,key,profit_pct,is_win,holding_bars,adx,pdi,mdi,pdi_mdi_ratio,is_strong_trend,atr_pct,vs_ma5,vs_ma10,vs_ma20,vs_ma60,is_bullish_align,ma5_slope,recent_gain3,recent_gain5,body_pct,body_ratio,upper_shadow_ratio,lower_shadow_ratio,vol_ratio,reversal_ratio,prev5_drop,rsi,macd_diff,macd_dea,macd_hist,macd_hist_prev,macd_hist_slope,kdj_k,kdj_d,kdj_j,kdj_cross,boll_upper,boll_mid,boll_lower,boll_pctb,boll_width,cci,wr,mfi,bias6,bias12,bias24
002853,2024-11-25,2024-12-04,影线后收阳,盈利锁定,10.649999618530272,10.630000114440918,-0.3474404199816852,10,True,1,26.103293767339657,26.34054713631702,2024-11-25,002853_2024-11-25,-0.3474404199816852,False,9,40.46009083793235,36.92493773406013,11.743335477753984,3.144331336187149,True,5.539905175986625,5.112511356179098,4.0140607678036755,8.551622217903535,28.212841171993492,True,2.2195307071870194,6.820454696979798,11.51831838561216,6.4999961853027335,0.9027769131428192,0.1076933685850692,0.0,1.3304329491848688,2.954540134467915,3.1568271817777114,63.075,0.484,0.513,-0.06,-0.121,0.061,47.12709495696705,44.660867614380386,52.05954964214037,True,11.089,9.811,8.533,0.8282471121010458,26.05239017429417,67.41573167483688,28.879,61.438231252610294,6.129,4.344,10.182
002879,2026-02-06,2026-02-10,影线后收阳,止损清仓,21.809999465942383,21.649999618530273,-0.8923863488512808,10,True,1,6.648330116668347,7.436492557595983,2026-02-06,002879_2026-02-06,-0.8923863488512808,False,4,13.321452848072328,19.9510392772527,21.787031361640143,0.9157300481230304,False,5.351412346908783,2.0207670992583524,3.4237459822602583,3.7509190595878046,19.18032505401958,True,1.529254077224914,1.82072543538438,7.97029030789327,4.604312071504075,0.6575331728200392,0.3750009934116936,0.1458348234508738,1.5245008797758264,1.3150680636480023,3.834663648851036,59.062,0.716,0.821,-0.209,-0.287,0.0779999999999999,60.314734987782735,50.770505862635936,79.40319323807633,True,23.081,21.022,18.962,0.6914298290707412,19.593758919227476,46.148411996624695,29.968,54.50390930193339,2.966,2.45,5.929
002879,2026-02-12,2026-03-03,影线后收阳,盈利锁定,22.040000915527344,21.36000061035156,-3.2403177257757374,10,True,1,10.753170750619542,14.27902223739848,2026-02-12,002879_2026-02-12,-3.2403177257757374,False,19,6.0806344367749405,22.867933002390306,22.56605365192538,1.013377587198955,False,4.294139727202178,1.2774608202524669,2.9473627905031594,2.880086648098345,18.4617229043466,False,1.1057429342763634,0.7312694739387562,5.707436509762469,1.942645975904771,0.3853217912307318,0.8095194844710061,0.7857139613353255,1.2058323904902477,2.333329801212224,-1.2897226674557287,59.526,0.67,0.74,-0.14,-0.192,0.0519999999999999,75.14629000737823,68.26693368945168,88.90500264323131,True,22.694,21.423,20.152,0.7427226260925823,11.86575176212481,91.2549582898161,12.811,58.00749176600704,1.99,3.567,4.243
300199,2024-09-19,2024-09-23,影线后收阳,止损清仓,9.210000038146973,9.079999923706056,-1.5692047407970366,10,True,1,54.505966159576325,56.718057949369104,2024-09-19,300199_2024-09-19,-1.5692047407970366,False,4,38.66866280898194,35.54983350943382,13.299244963087192,2.673071562190515,True,3.0324180480977585,1.0089953935165838,0.1958238256834393,0.6007653405688966,0.0,False,0.131782168296438,-0.2166793616601827,0.6557423182312311,1.543554002572292,0.5000017029914748,0.928569968869422,0.0714232191878802,1.3889680851687032,1.7499850990022292,-2.4972909333116573,49.94,-0.092,-0.1,0.017,-0.001,0.018,29.880326364787223,32.999268701405995,23.642441691549692,False,9.386,9.155,8.924,0.6190477016168254,5.046422719825229,-1.7977392250826232,54.545,61.52602884043208,0.95,0.199,0.077
300199,2024-10-21,2024-10-31,多头排列形成,止损清仓,12.220000267028809,12.0,-1.9574018292100173,10,True,6,10.965631123621083,13.000003496805826,2024-10-21,300199_2024-10-21,-1.9574018292100173,False,10,49.431142536232805,51.30693618921867,15.60866392083492,3.2870805886679775,True,7.82674775001599,5.145415063478502,5.645372689277313,15.321099461346574,25.012790455537683,True,2.234342812023816,11.496352413287642,11.598177898497177,4.000002272585605,0.8867934034494237,0.1276583656466415,0.0,1.311495520173383,0.9215687374479686,11.688314101048254,65.212,0.637,0.514,0.247,0.219,0.0279999999999999,48.666615136492375,43.6214802611828,58.756884887111525,True,13.126,10.596,8.067,0.8209132767402271,47.74443186107965,75.96111370598742,41.104,75.00631552709322,6.169,6.207,17.944
300199,2024-11-19,2024-11-26,影线后收阳,止损清仓,12.5,11.579999923706056,-7.508180155511453,10,True,4,14.000000000000002,23.056995629404444,2024-11-19,300199_2024-11-19,-7.508180155511453,False,7,30.769062497562924,25.442490642861944,19.46902916270665,1.30681866210348,True,5.165714263916016,4.045279382833179,3.4682555796953305,4.615641596415276,17.621228040031394,True,-0.6779097950566928,3.5625543997335085,-3.1758315434395334,8.695652173913043,1.0,0.0,0.0,1.2160621353034096,3.125002980235081,-9.098159728197484,58.053,0.278,0.346,-0.135,-0.225,0.09,37.62690625046703,40.580153885201256,31.72041098099858,False,12.744,11.949,11.153,0.8466373350094281,13.314921750774117,35.078287914601404,45.299,61.61147550653352,2.768,4.131,4.453
300199,2025-07-16,2025-07-24,影线后收阳,止损清仓,19.43000030517578,18.690000534057617,-3.9624024259941297,10,True,3,42.4086445789874,48.047080179974515,2025-07-16,300199_2025-07-16,-3.9624024259941297,False,8,37.07108797376847,26.991152229623545,10.74591374383887,2.5117596207301425,True,5.815748989053353,4.093005041568156,4.417456540961961,10.649204831946264,23.341587876033387,True,0.7230736859456967,4.970286682430372,3.571428934539409,7.0523455291904735,0.8000002384185223,0.0390618829991253,0.2109377444720447,1.3762776481445471,2.9090889386918204,-0.9761404553287896,65.586,0.824,0.771,0.106,0.036,0.07,60.86419651480835,59.83587134380639,62.92084685681229,True,19.811,17.56,15.309,0.9153710140328256,25.637813211845103,75.7920478435863,13.835,71.36866886614837,4.006,5.588,10.786
300199,2025-10-27,2025-10-30,影线后收阳,止损清仓,21.790000915527344,20.010000228881836,-8.315773331615448,10,True,2,2.569983673306469,11.69415355233432,2025-10-27,300199_2025-10-27,-8.315773331615448,False,3,21.812624632364095,23.752633327779726,16.584687298651037,1.4322026638218084,False,4.664655161935681,1.7653681861592128,2.113505683736268,0.3708095014875828,-8.807462811900384,False,0.5163845115268768,0.7397215023982066,2.5894592765347535,3.1723487200309437,0.7701159757086795,0.2985057206218525,0.0,1.3920707040975726,2.6800003051757812,-1.9681353012690217,46.505,-0.688,-0.793,0.211,0.104,0.107,54.78218642500573,51.769181676213506,60.80819592259019,True,23.582,21.71,19.837,0.5214955715693841,17.250115154306776,72.93820903153754,27.174,51.92635032894271,1.902,2.369,-1.607
300207,2024-09-11,2024-09-13,影线后收阳,止损清仓,16.020000457763672,15.239999771118164,-5.021082086695496,10,True,6,62.60922904303726,70.93175609115676,2024-09-11,300207_2024-09-11,-5.021082086695496,False,2,18.92265669596655,27.503351230329347,22.56343145613504,1.218934774340413,False,3.3395744826763463,1.123597128964775,0.0687129216595458,1.7368964133484912,0.0,False,-0.3647786266398947,2.2988544946317755,-1.7780442530624874,1.9083981274738584,0.731709756579789,0.099995867413923,0.2666662428116844,1.3538167087404878,3.000019073595468,-4.92401448054377,52.853,0.057,0.059,-0.004,-0.026,0.022,44.18305090147778,48.04500498320891,36.459142738015515,False,16.498,15.747,14.995,0.6819696991108924,9.544675176224054,15.539744682564658,45.902,56.94186351413937,0.628,0.94,1.776
300207,2024-10-25,2024-11-01,影线后收阳,止损清仓,23.100000381469727,21.399999618530273,-7.507491189485514,10,True,3,12.467528628600668,21.401869183867788,2024-10-25,300207_2024-10-25,-7.507491189485514,False,7,47.28165827121128,33.44781792445753,17.904679743974693,1.8681047861642672,True,7.201608080061837,2.2033463175150287,5.301547586014096,11.86440940190338,32.545331746976984,True,0.8837705472885051,2.0768945564874843,4.477610781497045,3.309480102498661,0.560606016819351,0.5405401922298717,0.2432437308781796,1.3611467555614776,1.0277757173737974,6.003842547177106,64.602,1.569,1.508,0.121,0.121,0.0,71.61852956923478,63.23118648593414,88.39321573583605,True,26.162,20.65,15.138,0.7222424148648157,53.384987893462466,59.057461798683846,49.331,60.652620584025065,2.575,5.894,17.081
